time_start,accelerationX,accelerationY,accelerationZ,time_end,rotationX,rotationY,rotationZ,Class,Activity
0.612,-0.014532,0.020815,0.046653,0.614,0.0060659,-0.015626,0.0058399,0,Stand
0.622,0.022376,0.035338,0.088181,0.624,0.0036224,-0.0089064,0.0046181,0,Stand
0.633,0.04629,0.070024,0.10743,0.634,0.0017898,-0.0040195,0.0040073,0,Stand
0.641,0.067922,0.10808,0.096232,0.643,-4.28E-05,0.0045326,0.00095295,0,Stand
0.652,0.05739,0.10265,0.055556,0.653,-0.0018754,0.010641,-0.003934,0,Stand
0.664,0.03377,0.10984,0.047876,0.666,-0.003708,0.01003,-0.0045448,0,Stand
0.672,0.0017071,0.097797,-0.00029874,0.674,-0.0073731,0.011252,-0.0069883,0,Stand
0.682,-0.012451,0.091585,-0.047145,0.683,-0.0073731,0.0039218,-0.0094318,0,Stand
0.692,-0.024464,0.048134,-0.067969,0.693,-0.014093,-0.0058521,-0.00821,0,Stand
0.702,-0.046288,0.019476,-0.032673,0.703,-0.018369,-0.016848,-0.00821,0,Stand
0.712,-0.032451,-0.001742,0.015642,0.713,-0.015314,-0.019902,-0.0051557,0,Stand
0.722,0.00053692,-0.019018,0.056933,0.723,-0.015925,-0.018069,-0.0033231,0,Stand
0.733,0.031252,-0.031202,0.10507,0.734,-0.01898,-0.010128,0.00095295,0,Stand
0.742,0.044275,-0.023673,0.085402,0.743,-0.020201,-0.0046304,0.00095295,0,Stand
0.752,0.0383,-0.014878,0.06518,0.753,-0.024477,-0.00096516,0.0015638,0,Stand
0.762,0.062362,0.0072446,0.079337,0.763,-0.023256,0.0045326,-0.0014905,0,Stand
0.772,0.053014,0.012276,0.076177,0.773,-0.023256,0.011252,-0.003934,0,Stand
0.782,0.052191,0.0086989,0.065208,0.783,-0.024477,0.010641,-0.0069883,0,Stand
0.792,0.034534,0.0060806,0.024477,0.794,-0.024477,0.0094195,-0.010043,0,Stand
0.804,-0.041873,-0.014708,-0.047106,0.806,-0.020201,0.0020892,-0.011875,0,Stand
0.812,-0.061039,-0.050006,-0.041311,0.814,-0.020812,-0.0040195,-0.010653,0,Stand
0.822,-0.076742,-0.069478,-0.012178,0.824,-0.018369,-0.015626,-0.010043,0,Stand
0.832,-0.050798,-0.09955,0.025149,0.834,-0.015925,-0.019902,-0.0069883,0,Stand
0.842,-0.011723,-0.09931,0.049604,0.843,-0.0092057,-0.019902,-0.0027122,0,Stand
0.852,-0.007287,-0.098698,0.045192,0.854,-0.01226,-0.021735,0.0027855,0,Stand
0.864,0.030698,-0.085454,0.050515,0.865,-0.0092057,-0.01868,0.0046181,0,Stand
0.873,0.052023,-0.050601,0.06267,0.874,-0.0085949,-0.016848,0.0070616,0,Stand
0.882,0.060239,-0.013266,0.050699,0.883,-0.0043188,-0.013182,0.0058399,0,Stand
0.892,0.055353,-0.0049926,0.057493,0.893,-0.0012645,-0.0070738,0.0033964,0,Stand
0.902,0.044581,0.010038,0.025434,0.903,0.0017898,-0.0064629,0.0021747,0,Stand
0.912,0.018223,0.0068423,0.0077202,0.914,0.0042333,-0.0058521,-0.00026878,0,Stand
0.921,-0.015348,-0.0098348,-0.013591,0.923,0.0066768,-0.010128,0.00034208,0,Stand
0.933,-0.010735,-0.026504,-0.028456,0.935,0.015229,-0.01135,0.00034208,0,Stand
0.941,-0.015759,-0.048128,-0.046755,0.943,0.017061,-0.021735,0.0033964,0,Stand
0.952,0.006547,-0.05985,-0.022251,0.954,0.017672,-0.021735,0.0046181,0,Stand
0.961,0.036023,-0.030783,-0.0084388,0.963,0.015229,-0.023567,0.0076725,0,Stand
0.971,0.047543,-0.019364,0.042619,0.973,0.012785,-0.019291,0.010116,0,Stand
0.981,0.074778,-0.0017408,0.088389,0.983,0.0091202,-0.015626,0.011338,0,Stand
0.991,0.10333,0.051845,0.10381,0.993,0.0078985,-0.0064629,0.013781,0,Stand
1.002,0.097407,0.069598,0.071652,1.003,0.0030116,0.0045326,0.010116,0,Stand
1.011,0.096495,0.10487,0.063628,1.013,0.001179,0.010641,0.005229,0,Stand
1.021,0.063326,0.10962,0.019189,1.023,0.0030116,0.010641,-0.0014905,0,Stand
1.032,0.0072966,0.086064,-0.045477,1.033,0.005455,0.0020892,-0.0033231,0,Stand
1.042,-0.015502,0.059882,-0.095985,1.044,0.0042333,-0.0034086,-0.0045448,0,Stand
1.052,-0.030121,0.018137,-0.13616,1.053,0.0042333,-0.018069,-0.003934,0,Stand
1.064,-0.040349,-0.028182,-0.15438,1.066,0.005455,-0.028454,-0.003934,0,Stand
1.072,-0.017346,-0.04923,-0.12478,1.074,0.0024007,-0.028454,-0.00087965,0,Stand
1.082,0.053651,-0.049429,0.0051799,1.084,-0.00065363,-0.026011,0.0033964,0,Stand
1.092,0.10322,-0.012032,0.034305,1.093,-0.0030971,-0.022956,0.0070616,0,Stand
1.102,0.12062,0.02212,0.06542,1.103,-0.0061514,-0.011961,0.0088942,0,Stand
1.113,0.1419,0.077916,0.057148,1.114,-0.0085949,0.0027,0.0095051,0,Stand
1.122,0.11326,0.082188,0.0044477,1.124,-0.0085949,0.013085,0.0076725,0,Stand
1.135,0.07641,0.088538,-0.068229,1.137,-0.0098166,0.017972,0.0040073,0,Stand
1.142,0.045551,0.090843,-0.12674,1.143,-0.014704,0.014917,0.00034208,0,Stand
1.152,-0.0046644,0.10116,-0.15231,1.154,-0.01959,0.0063652,-0.0075992,0,Stand
1.162,-0.056433,0.052209,-0.17916,1.163,-0.024477,-0.0070738,-0.011264,0,Stand
1.172,-0.069099,-0.0051653,-0.17818,1.173,-0.027532,-0.015626,-0.011264,0,Stand
1.182,-0.06638,-0.041867,-0.1237,1.183,-0.030586,-0.024178,-0.011264,0,Stand
1.192,-0.0267,-0.068665,-0.080493,1.196,-0.032419,-0.0254,-0.0069883,0,Stand
1.203,0.010666,-0.074475,-0.028945,1.205,-0.037306,-0.028454,-0.003934,0,Stand
1.212,0.066041,-0.058244,0.058526,1.214,-0.037916,-0.022956,-0.00087965,0,Stand
1.222,0.11567,-0.038114,0.096123,1.224,-0.037916,-0.013182,-0.00026878,0,Stand
1.232,0.1357,0.019058,0.14205,1.233,-0.041582,-0.0052412,-0.0014905,0,Stand
1.242,0.10564,0.065314,0.12371,1.243,-0.037306,0.0081978,-0.0033231,0,Stand
1.252,0.073503,0.059702,0.051338,1.253,-0.034251,0.011863,-0.0069883,0,Stand
1.265,0.040192,0.059576,-0.015352,1.266,-0.036084,0.01003,-0.00821,0,Stand
1.272,0.01276,0.070066,-0.074519,1.273,-0.034251,0.0039218,-0.011264,0,Stand
1.281,-0.011327,0.061014,-0.1317,1.283,-0.036084,-0.0052412,-0.011264,0,Stand
1.292,-0.01775,0.04122,-0.15664,1.293,-0.041582,-0.020513,-0.013097,0,Stand
1.302,-0.011431,0.025004,-0.12007,1.303,-0.045247,-0.024789,-0.013708,0,Stand
1.312,0.01397,0.01486,-0.036498,1.313,-0.049523,-0.021124,-0.013097,0,Stand
1.322,0.040716,0.0061339,0.038214,1.323,-0.057464,-0.018069,-0.011875,0,Stand
1.334,0.046067,0.022869,0.093317,1.337,-0.063573,-0.0076847,-0.010653,0,Stand
1.342,0.080482,0.033844,0.15203,1.343,-0.063573,-0.0021869,-0.010043,0,Stand
1.352,0.080376,0.04002,0.1573,1.353,-0.06174,0.007587,-0.013097,0,Stand
1.362,0.033832,0.015943,0.11838,1.363,-0.061129,0.019193,-0.017984,0,Stand
1.372,-0.0064812,0.012984,0.056798,1.374,-0.061129,0.019193,-0.019816,0,Stand
1.381,-0.036056,-0.00083768,0.0060813,1.383,-0.059908,0.014917,-0.025314,0,Stand
1.391,-0.07181,-0.025846,-0.066798,1.393,-0.059908,0.013085,-0.027758,0,Stand
1.402,-0.078955,-0.056931,-0.094958,1.403,-0.058075,-0.00096516,-0.028369,0,Stand
1.411,-0.064892,-0.090303,-0.091831,1.413,-0.058075,-0.014404,-0.024093,0,Stand
1.421,-0.028351,-0.1135,-0.013217,1.423,-0.053799,-0.024178,-0.021649,0,Stand
1.431,0.022384,-0.1244,0.029091,1.433,-0.051355,-0.0254,-0.017984,0,Stand
1.441,0.06,-0.10975,0.067783,1.443,-0.04769,-0.021735,-0.010653,0,Stand
1.451,0.10981,-0.088464,0.1119,1.453,-0.046469,-0.012572,-0.0088209,0,Stand
1.463,0.10842,-0.057491,0.13222,1.465,-0.043414,0.0014783,-0.0057666,0,Stand
1.472,0.083472,-0.031186,0.09486,1.473,-0.042192,0.014917,-0.0057666,0,Stand
1.482,0.05882,-0.0098279,0.040725,1.483,-0.039749,0.018583,-0.0051557,0,Stand
1.492,0.039005,0.0077991,0.0031073,1.493,-0.037916,0.018583,-0.0063774,0,Stand
1.502,0.014339,0.013183,-0.020024,1.503,-0.037306,0.017361,-0.012486,0,Stand
1.512,-0.018835,0.0071421,-0.050107,1.513,-0.037916,0.01675,-0.014319,0,Stand
1.522,-0.038908,-0.01461,-0.078787,1.523,-0.037306,0.01003,-0.017373,0,Stand
1.534,-0.041256,-0.046168,-0.1007,1.535,-0.039749,0.0033109,-0.017373,0,Stand
1.542,-0.024633,-0.062007,-0.081132,1.543,-0.037916,-0.0052412,-0.016762,0,Stand
1.552,-0.009408,-0.069361,-0.045189,1.554,-0.039749,-0.013793,-0.013708,0,Stand
1.562,0.015247,-0.065563,0.016623,1.563,-0.042803,-0.013182,-0.011875,0,Stand
1.572,0.059129,-0.06509,0.063902,1.573,-0.044636,-0.010128,-0.011875,0,Stand
1.582,0.087575,-0.065755,0.1119,1.583,-0.039138,0.0039218,-0.0075992,0,Stand
1.593,0.091315,-0.051799,0.12484,1.594,-0.039138,0.013085,-0.0069883,0,Stand
1.603,0.086915,-0.01752,0.1009,1.605,-0.037306,0.019804,-0.0088209,0,Stand
1.612,0.046737,-0.0050958,0.048794,1.614,-0.035473,0.020415,-0.013097,0,Stand
1.622,0.016076,0.00081921,-0.0021071,1.623,-0.037916,0.019193,-0.01554,0,Stand
1.632,-0.032626,-0.014996,-0.026422,1.633,-0.036084,0.012474,-0.01493,0,Stand
1.643,-0.073128,-0.043912,-0.064382,1.644,-0.036695,0.01003,-0.016762,0,Stand
1.652,-0.079004,-0.068089,-0.064899,1.654,-0.037306,-0.0040195,-0.013708,0,Stand
1.664,-0.027742,-0.075112,-0.048452,1.666,-0.037306,-0.010128,-0.013708,0,Stand
1.672,0.0090313,-0.091601,0.0080249,1.673,-0.036695,-0.017459,-0.0094318,0,Stand
1.682,0.037315,-0.072957,0.048343,1.684,-0.038527,-0.018069,-0.0069883,0,Stand
1.692,0.072835,-0.079148,0.076616,1.694,-0.036084,-0.014404,-0.003934,0,Stand
1.702,0.098936,-0.070743,0.10677,1.703,-0.037306,-0.0021869,-0.0033231,0,Stand
1.712,0.096614,-0.015695,0.086643,1.714,-0.03364,0.011863,-0.0014905,0,Stand
1.722,0.073078,0.004571,0.042443,1.723,-0.036084,0.020415,-0.0045448,0,Stand
1.734,0.040112,0.024462,0.02505,1.735,-0.032419,0.021026,-0.0057666,0,Stand
1.742,0.008317,0.024889,-0.0091126,1.743,-0.032419,0.018583,-0.011264,0,Stand
1.752,-0.022428,0.015168,-0.017829,1.753,-0.031808,0.014917,-0.012486,0,Stand
1.762,-0.042511,-0.0030705,-0.021374,1.763,-0.029975,0.007587,-0.011264,0,Stand
1.772,-0.044801,-0.025984,-0.0062819,1.773,-0.029364,0.0039218,-0.013097,0,Stand
1.782,-0.054366,-0.040648,0.015099,1.783,-0.031197,-0.0034086,-0.012486,0,Stand
1.792,-0.04851,-0.04437,0.052649,1.793,-0.032419,-0.0076847,-0.00821,0,Stand
1.803,0.013572,-0.011775,0.071369,1.805,-0.031808,-0.012572,-0.0063774,0,Stand
1.812,0.045647,0.0053509,0.086837,1.813,-0.033029,-0.0095173,-0.0063774,0,Stand
1.822,0.077826,0.01405,0.12582,1.823,-0.032419,-0.0070738,-0.0057666,0,Stand
1.831,0.098132,0.029867,0.13688,1.833,-0.033029,0.0020892,-0.0094318,0,Stand
1.841,0.081515,0.039264,0.10513,1.843,-0.032419,0.0069761,-0.012486,0,Stand
1.851,0.014693,0.041106,0.058577,1.853,-0.031197,0.012474,-0.01493,0,Stand
1.862,-0.034086,0.023531,0.018764,1.864,-0.02631,0.0057544,-0.018595,0,Stand
1.871,-0.077127,-0.026771,-0.056181,1.873,-0.023256,-0.001576,-0.019816,0,Stand
1.881,-0.088063,-0.063815,-0.10151,1.883,-0.018369,-0.016848,-0.017984,0,Stand
1.891,-0.089826,-0.08514,-0.12728,1.893,-0.01226,-0.030898,-0.016762,0,Stand
1.901,-0.078765,-0.099122,-0.11333,1.903,-0.01226,-0.03945,-0.016151,0,Stand
1.911,-0.071497,-0.11881,-0.087717,1.913,-0.0073731,-0.044337,-0.010653,0,Stand
1.921,-0.013984,-0.1307,-0.035361,1.923,-0.0055406,-0.044947,-0.0014905,0,Stand
1.932,0.11308,-0.090296,0.069548,1.934,-0.0030971,-0.041282,0.0058399,0,Stand
1.942,0.15772,-0.017132,0.078201,1.943,0.0005681,-0.029065,0.010116,0,Stand
1.952,0.1632,0.023775,0.078382,1.953,0.0017898,-0.016848,0.01317,0,Stand
1.962,0.15701,0.067073,0.064215,1.963,0.0017898,-0.0064629,0.0082833,0,Stand
1.972,0.13902,0.10487,0.040702,1.973,-0.0012645,0.0063652,0.0095051,0,Stand
1.982,0.11651,0.14138,0.001708,1.983,-0.0085949,0.02408,0.0021747,0,Stand
1.992,0.077543,0.14836,-0.023214,1.994,-0.018369,0.027746,-0.0027122,0,Stand
2.003,0.0038624,0.13456,-0.033958,2.005,-0.029975,0.028967,-0.010653,0,Stand
2.012,-0.042372,0.10943,-0.03263,2.013,-0.036695,0.025302,-0.01554,0,Stand
2.022,-0.069576,0.063689,-0.003396,2.023,-0.04036,0.015528,-0.021038,0,Stand
2.032,-0.082655,0.0021647,0.031466,2.033,-0.049523,0.0069761,-0.019816,0,Stand
2.042,-0.063547,-0.027691,0.065887,2.043,-0.051355,-0.00035429,-0.017984,0,Stand
2.052,-0.014597,-0.047577,0.12475,2.053,-0.055021,-0.0040195,-0.013097,0,Stand
2.065,0.012854,-0.057203,0.17532,2.066,-0.053799,-0.00035429,-0.01554,0,Stand
2.072,0.034471,-0.062168,0.17857,2.073,-0.049523,0.0057544,-0.013097,0,Stand
2.081,0.039541,-0.04537,0.13559,2.083,-0.047079,0.01003,-0.011264,0,Stand
2.093,0.024388,-0.057086,0.076653,2.094,-0.039749,0.0094195,-0.014319,0,Stand
2.102,-0.0088024,-0.05123,0.016675,2.103,-0.037306,0.0014783,-0.01493,0,Stand
2.112,-0.02905,-0.066937,0.003046,2.114,-0.032419,-0.0034086,-0.014319,0,Stand
2.122,-0.059004,-0.093326,-0.018426,2.124,-0.028753,-0.013182,-0.011264,0,Stand
2.133,-0.059244,-0.10141,-0.020958,2.135,-0.028753,-0.016237,-0.0088209,0,Stand
2.142,-0.03798,-0.13061,-0.01238,2.143,-0.015925,-0.018069,-0.0014905,0,Stand
2.152,0.0048609,-0.10786,-0.0060883,2.154,-0.013482,-0.016848,0.0033964,0,Stand
2.163,0.039392,-0.082314,0.024031,2.164,-0.010427,-0.012572,0.0046181,0,Stand
2.173,0.072848,-0.074713,0.052495,2.174,-0.013482,-0.0095173,0.0064507,0,Stand
2.183,0.1064,-0.040653,0.08782,2.184,-0.012871,0.0014783,0.0070616,0,Stand
2.192,0.11028,0.012379,0.095717,2.196,-0.013482,0.013085,0.005229,0,Stand
2.204,0.1192,0.064971,0.094132,2.206,-0.012871,0.018583,-0.00026878,0,Stand
2.212,0.05512,0.11195,0.053751,2.213,-0.0098166,0.025302,-0.0014905,0,Stand
2.223,0.001936,0.097507,0.035491,2.224,-0.011649,0.025913,-0.0063774,0,Stand
2.231,-0.051313,0.070588,-0.018627,2.233,-0.011038,0.021637,-0.011875,0,Stand
2.242,-0.073639,0.03477,-0.062615,2.243,-0.013482,0.013085,-0.013097,0,Stand
2.253,-0.079453,-0.012976,-0.08527,2.254,-0.01226,0.0045326,-0.014319,0,Stand
2.265,-0.08787,-0.043962,-0.056842,2.267,-0.011649,-0.0076847,-0.011875,0,Stand
2.273,-0.064252,-0.059108,-0.01881,2.277,-0.013482,-0.019291,-0.0069883,0,Stand
2.281,-0.023034,-0.080854,0.020848,2.293,-0.0085949,-0.0254,0.0015638,0,Stand
2.292,0.041681,-0.082901,0.068606,2.303,-0.007984,-0.018069,0.0021747,0,Stand
2.301,0.11383,-0.043662,0.11904,2.314,-0.0073731,-0.0046304,0.0027855,0,Stand
2.311,0.14229,0.018009,0.13474,2.323,-0.0067623,0.0045326,-0.00087965,0,Stand
2.321,0.14714,0.054405,0.11437,2.334,-0.010427,0.015528,-0.003934,0,Stand
2.333,0.11025,0.06992,0.072786,2.343,-0.011649,0.021026,-0.0063774,0,Stand
2.341,0.06637,0.092254,0.017139,2.353,-0.015925,0.020415,-0.010043,0,Stand
2.351,0.021344,0.091522,-0.048413,2.363,-0.017758,0.014917,-0.014319,0,Stand
2.361,-0.020194,0.078509,-0.075381,2.373,-0.01898,0.0063652,-0.01554,0,Stand
2.371,-0.073915,0.044814,-0.080122,2.383,-0.020812,-0.0021869,-0.01493,0,Stand
2.382,-0.087174,0.0015643,-0.093509,2.394,-0.020812,-0.010739,-0.01493,0,Stand
2.393,-0.053956,-0.018715,-0.077266,2.406,-0.020812,-0.021124,-0.012486,0,Stand
2.404,-0.035295,-0.067566,-0.037456,2.413,-0.01959,-0.021735,-0.0063774,0,Stand
2.412,-0.01202,-0.070524,-0.00039744,2.424,-0.020201,-0.021735,-0.0014905,0,Stand
2.423,0.026896,-0.082408,0.058179,2.434,-0.017147,-0.011961,0.00034208,0,Stand
2.432,0.056339,-0.062623,0.10222,2.444,-0.015314,0.0020892,0.00034208,0,Stand
2.442,0.1208,-0.0284,0.11641,2.453,-0.011649,0.013085,0.0015638,0,Stand
2.452,0.13533,-0.0050584,0.11242,2.467,-0.011649,0.018583,-0.0021014,0,Stand
2.465,0.12259,0.028967,0.064268,2.473,-0.011649,0.023469,-0.0045448,0,Stand
2.472,0.066819,0.045776,0.0049374,2.483,-0.011649,0.017361,-0.0063774,0,Stand
2.482,0.018273,0.041943,-0.051112,2.493,-0.012871,0.011252,-0.011264,0,Stand
2.492,-0.029276,0.022365,-0.07533,2.504,-0.01226,0.0020892,-0.010043,0,Stand
2.502,-0.032758,0.010747,-0.078493,2.514,-0.014704,-0.0070738,-0.011264,0,Stand
2.513,-0.032871,0.0064297,-0.038868,2.523,-0.017147,-0.010128,-0.010043,0,Stand
2.522,-0.018836,0.0080537,-0.0067792,2.535,-0.017758,-0.018069,-0.0057666,0,Stand
2.533,0.028666,0.0026779,0.013606,2.544,-0.015925,-0.018069,-0.0063774,0,Stand
2.542,0.085613,0.019323,0.050261,2.554,-0.01959,-0.011961,-0.003934,0,Stand
2.553,0.11504,0.021372,0.062806,2.563,-0.020201,-0.0040195,-0.0057666,0,Stand
2.562,0.13747,0.059526,0.092704,2.574,-0.023256,0.014306,-0.010043,0,Stand
2.572,0.090645,0.066288,0.063145,2.583,-0.024477,0.021637,-0.013708,0,Stand
2.582,0.046598,0.059491,0.016359,2.593,-0.024477,0.021026,-0.01493,0,Stand
2.592,-0.00212,0.033245,-0.038185,2.605,-0.020201,0.014917,-0.01554,0,Stand
2.603,-0.03892,0.0057697,-0.075771,2.614,-0.022034,0.0069761,-0.016762,0,Stand
2.613,-0.043583,-0.030094,-0.098285,2.623,-0.018369,-0.00096516,-0.013097,0,Stand
2.622,-0.0089598,-0.040792,-0.080439,2.633,-0.018369,-0.0070738,-0.013708,0,Stand
2.632,0.018315,-0.043944,-0.070172,2.644,-0.020812,-0.0070738,-0.011875,0,Stand
2.642,0.043052,-0.053044,-0.023429,2.653,-0.025699,-0.0021869,-0.0094318,0,Stand
2.652,0.085798,-0.025986,0.043563,2.667,-0.027532,0.0033109,-0.010043,0,Stand
2.664,0.08921,0.0097393,0.059747,2.674,-0.028753,0.01003,-0.010653,0,Stand
2.672,0.097568,0.052557,0.065699,2.683,-0.029364,0.013696,-0.011875,0,Stand
2.682,0.077348,0.089155,0.092513,2.693,-0.028143,0.020415,-0.013708,0,Stand
2.692,0.045252,0.10273,0.094905,2.703,-0.028753,0.023469,-0.01554,0,Stand
2.702,0.0049267,0.090832,0.066641,2.714,-0.031808,0.017972,-0.017373,0,Stand
2.712,-0.032946,0.077517,0.034475,2.724,-0.03364,0.014306,-0.020427,0,Stand
2.722,-0.061416,0.046189,-0.030554,2.737,-0.037306,0.0051435,-0.021649,0,Stand
2.735,-0.085236,0.026676,-0.056798,2.743,-0.034251,-0.0052412,-0.020427,0,Stand
2.741,-0.076985,0.015586,-0.054533,2.754,-0.037916,-0.01135,-0.019816,0,Stand
2.751,-0.045024,-0.021637,-0.034534,2.763,-0.035473,-0.012572,-0.017373,0,Stand
2.761,0.0059729,-0.054908,0.0076287,2.773,-0.031808,-0.011961,-0.013097,0,Stand
2.771,0.062953,-0.043707,0.04867,2.783,-0.032419,-0.0058521,-0.011264,0,Stand
2.781,0.13081,0.012045,0.10739,2.793,-0.031808,0.0027,-0.011875,0,Stand
2.791,0.12584,0.027215,0.1199,2.803,-0.029364,0.01675,-0.012486,0,Stand
2.802,0.10193,0.025502,0.098007,2.813,-0.027532,0.027746,-0.013097,0,Stand
2.811,0.046036,0.028431,0.054415,2.823,-0.028753,0.032022,-0.01554,0,Stand
2.822,0.0047369,0.030048,-0.012864,2.834,-0.033029,0.028967,-0.016151,0,Stand
2.833,-0.042504,0.011148,-0.074389,2.843,-0.028753,0.021637,-0.017984,0,Stand
